CaseID,ItemID,Batch,Type,PromptSnippet,Correct,Difficulty,DifficultyScore,CognitiveLevel,CalculationRequired,Topic
CBQ23-D1,CBQ23-D1-Q6,Batch1,match,Match each workshop artifact to the COSO ERM 2017 principle ,{'Scoring likelihood x impact before and after controls': 'P,Difficult,4,Evaluate,False,COSO ERM 2017 principles
CBQ23-A2,CBQ23-A2-Q1,Batch1,numeric,Using the inputs in Exhibit 2 and the indirect method; compu,3820,Moderate,3,Apply,True,Statement of cash flows
CBQ23-A2,CBQ23-A2-Q2,Batch1,numeric,Express Bright Meadow Foods FY2025 accruals gap as a percent,11.6,Moderate,3,Apply,True,Earnings quality
CBQ23-A2,CBQ23-A2-Q3,Batch1,select,Based on the common-size income statement in Exhibit 1; whic,B,Moderate,3,Analyze,False,Financial statement analysis
CBQ23-A2,CBQ23-A2-Q4,Batch1,select,Which observation from Exhibit 3 provides the strongest evid,D,Difficult,4,Analyze,False,Earnings quality
CBQ23-A2,CBQ23-A2-Q5,Batch1,multi,Which three follow-up actions should Priya Raman recommend t,Request an aging of the accounts receivable increase and con,Difficult,4,Evaluate,False,Audit committee governance
CBQ23-A2,CBQ23-A2-Q6,Batch1,match,Match each FY2025 analytical measure to its computed value f,{'Accruals gap; FY2025': '$500 thousand'; 'CFO-to-net-income,Moderate,3,Evaluate,True,Analytical measures synthesis
CBQ23-E2,CBQ23-E2-Q1,Batch1,numeric,Using the Exhibit 4 build and the factors in Exhibit 2 (annu,138084,Moderate,3,Apply,True,Capital budgeting
CBQ23-E2,CBQ23-E2-Q2,Batch1,numeric,Compute Project Delta net present value at the 10 percent co,115576,Moderate,3,Apply,True,Capital budgeting
CBQ23-E2,CBQ23-E2-Q3,Batch1,select,Which recommendation should Marcus Whitfield bring to the Ca,A,Difficult,4,Analyze,False,Investment decision criteria
CBQ23-E2,CBQ23-E2-Q4,Batch1,select,Which statement about the internal rate of return comparison,C,Difficult,4,Analyze,False,Investment decision criteria
CBQ23-E2,CBQ23-E2-Q5,Batch1,multi,Before the board vote; which three steps represent sound add,Stress-test the recommendation by recomputing Atlas NPV at a,Difficult,4,Evaluate,False,Capital budgeting governance
CBQ23-E2,CBQ23-E2-Q6,Batch1,match,Match each decision quantity to its correct value for the co,{'Project Atlas net present value at 10%': '$138;084'; 'Proj,Moderate,3,Evaluate,True,Decision metrics synthesis
CBQ23-F3,CBQ23-F3-Q1,Batch1,numeric,From the proposal in Exhibit 1; compute the total contingent,61000,Moderate,3,Apply,True,Anti-corruption compliance
CBQ23-F3,CBQ23-F3-Q2,Batch1,numeric,Using the ledger summary in Exhibit 2; compute the average a,325,Moderate,3,Apply,True,Books-and-records compliance
CBQ23-F3,CBQ23-F3-Q3,Batch1,select,How should Alicia Grant classify the proposed certification-,C,Difficult,4,Analyze,False,FCPA anti-bribery provisions
CBQ23-F3,CBQ23-F3-Q4,Batch1,select,How should the $150 payment to the port clerk be treated und,B,Difficult,4,Analyze,False,FCPA facilitating payments
CBQ23-F3,CBQ23-F3-Q5,Batch1,multi,Which three courses of action should Alicia Grant pursue in ,Refuse the certification-linked payment and escalate the mat,Difficult,4,Evaluate,False,Ethics escalation and remediation
CBQ23-F3,CBQ23-F3-Q6,Batch1,match,Match each conduct item from the expansion file to its corre,{'Payment to win discretionary module certification': 'FCPA ,Moderate,3,Evaluate,False,Compliance classification synthesis
CBQ23-C3,CBQ23-C3-Q1,Batch1,mcq,Based on Exhibit 1; which statement most accurately describe,A,Moderate,3,Apply,,
CBQ23-C3,CBQ23-C3-Q2,Batch1,mcq,Using Exhibit 1 and Exhibit 2; if Flash Industrial reallocat,A,Moderate,3,Apply,,
CBQ23-C3,CBQ23-C3-Q3,Batch1,mcq,Under the recommended Product-A-led mix; with $336;000 of co,B,Difficult,4,Analyze,,
CBQ23-C3,CBQ23-C3-Q4,Batch1,mcq,The CFO has asked how a shift to outsource TerraBond to a th,B,Difficult,4,Analyze,,
CBQ23-C3,CBQ23-C3-Q5,Batch1,mcq,Holding WACC at 9%; fixed costs at $175;000 per period; and ,B,Very Difficult,5,Evaluate,,
CBQ23-C3,CBQ23-C3-Q6,Batch1,mcq,The CEO is weighing whether to outsource all TerraBond produ,B,Very Difficult,5,Evaluate,,
CBQ23-D2,CBQ23-D2-Q1,Batch1,mcq,Which statement most accurately distinguishes risk capacity ,A,Moderate,3,Apply,,
CBQ23-D2,CBQ23-D2-Q2,Batch1,mcq,Using Exhibit 2 and assuming portfolio delinquency is approx,A,Moderate,3,Apply,,
CBQ23-D2,CBQ23-D2-Q3,Batch1,mcq,Which control-activity design is most consistent with COSO E,A,Difficult,4,Analyze,,
CBQ23-D2,CBQ23-D2-Q4,Batch1,mcq,TradeBridge has identified a scenario in which obligor conce,B,Difficult,4,Analyze,,
CBQ23-D2,CBQ23-D2-Q5,Batch1,mcq,The CEO is weighing whether to avoid TradeBridge entirely (r,B,Difficult,4,Evaluate,,
CBQ23-D2,CBQ23-D2-Q6,Batch1,mcq,After three months of operation; portfolio delinquency is ru,B,Very Difficult,5,Evaluate,,
CBQ23-E3,CBQ23-E3-Q1,Batch1,mcq,Using Exhibit 1 and a WACC of 8.5%; what is the approximate ,A,Moderate,3,Apply,,
CBQ23-E3,CBQ23-E3-Q2,Batch1,mcq,Using the MACRS schedule in Exhibit 2 and a 21% tax rate; wh,A,Moderate,3,Apply,,
CBQ23-E3,CBQ23-E3-Q3,Batch1,mcq,Based on Exhibit 2; what does the embedded real option to de,A,Difficult,4,Analyze,,
CBQ23-E3,CBQ23-E3-Q4,Batch1,mcq,Using Exhibit 2's sensitivity figures; what is the approxima,A,Difficult,4,Analyze,,
CBQ23-E3,CBQ23-E3-Q5,Batch1,mcq,Given the capital-rationing envelope of $140M available afte,B,Very Difficult,5,Evaluate,,
CBQ23-E3,CBQ23-E3-Q6,Batch1,mcq,If a leveraged analysis shows NPV ranking favoring replaceme,B,Very Difficult,5,Evaluate,,
CBQ23-A3,CBQ23-A3-Q1,Batch2,numeric,Enter the pre-tax foreign currency transaction (remeasuremen,34260,Moderate,3,Apply,True,Foreign currency transaction remeasurement
CBQ23-A3,CBQ23-A3-Q2,Batch2,numeric,Assuming operating leases are capitalized at present value o,1.34,Moderate,3,Apply,True,Off-balance-sheet financing â€” lease capitalization
CBQ23-A3,CBQ23-A3-Q3,Batch2,select,Which statement correctly applies ASC 830 to Atlas Pacific's,A,Difficult,4,Analyze,False,Foreign operations â€” functional currency
CBQ23-A3,CBQ23-A3-Q4,Batch2,select,Which evaluation of leverage amplification and coverage best,C,Difficult,4,Analyze,False,Leverage and coverage analysis
CBQ23-A3,CBQ23-A3-Q5,Batch2,multi,Which conclusions about covenant compliance and required act,On a lease-adjusted basis D/E is about 1.34x; which technica,Difficult,4,Evaluate,False,Covenant compliance
CBQ23-A3,CBQ23-A3-Q6,Batch2,match,Match each Atlas Pacific concept to its correct analytical t,{'Transaction remeasurement of the JPY 120M payable': 'Remea,Difficult,4,Evaluate,False,Integrated leverage and foreign exposure
CBQ23-C4,CBQ23-C4-Q1,Batch2,numeric,Using the Lerner index and point price elasticity of -2.50 i,30.00,Moderate,3,Apply,True,Pricing with price elasticity
CBQ23-C4,CBQ23-C4-Q2,Batch2,numeric,Using Exhibit 2; enter the expected value of perfect informa,600000,Moderate,3,Apply,True,Decision under uncertainty
CBQ23-C4,CBQ23-C4-Q3,Batch2,select,Given the elasticity estimate in Exhibit 1; which pricing re,B,Difficult,4,Analyze,False,Pricing strategy under elasticity
CBQ23-C4,CBQ23-C4-Q4,Batch2,select,How should Luis evaluate the $95;000 pilot social-media test,D,Difficult,4,Analyze,False,Value of information
CBQ23-C4,CBQ23-C4-Q5,Batch2,multi,Which statements correctly state the minimum transfer-price ,With 12;000 kg of idle capacity and an internal need of 10;0,Difficult,4,Evaluate,False,Transfer pricing with capacity constraints
CBQ23-C4,CBQ23-C4-Q6,Batch2,match,Match each Veridian decision concept to its correct quantita,{'Profit-maximizing price with Ed = -2.50 and VC $18': '$30.,Difficult,4,Evaluate,False,Integrated pricing and decision analysis
CBQ23-F4,CBQ23-F4-Q1,Batch2,select,Mapped to the fraud triangle; which element does the Exhibit,A,Moderate,3,Analyze,False,Fraud triangle
CBQ23-F4,CBQ23-F4-Q2,Batch2,select,Under the IMA Statement and SOX framework; what is Desai's c,B,Difficult,4,Analyze,False,SOX certification and revenue overstatement
CBQ23-F4,CBQ23-F4-Q3,Batch2,select,How do SOX 302 and SOX 404 differ as applied to Beacon's ove,C,Difficult,4,Analyze,False,SOX 302 vs 404
CBQ23-F4,CBQ23-F4-Q4,Batch2,select,Which audit committee response package is complete and corre,B,Difficult,4,Evaluate,False,Audit committee governance
CBQ23-F4,CBQ23-F4-Q5,Batch2,multi,Which three controls would most directly address the Beacon ,System-enforced three-way match (PO; receiving; invoice) wit,Very Difficult,5,Evaluate,False,Fraud control remediation
CBQ23-F4,CBQ23-F4-Q6,Batch2,match,Match each Beacon fact to its correct governance or reportin,{'Bypassing three-way match to ship $420k before title trans,Very Difficult,5,Evaluate,False,Integrated ethics and governance
CBQ23-A4,CBQ23-A4-Q1,Batch1,numeric,Enter the recast debt-to-equity ratio; rounded to two decima,1.45,Moderate,3,Apply,True,Recast D/E
CBQ23-A4,CBQ23-A4-Q2,Batch1,numeric,Enter the synthetic lease liability PV included in recast; i,5.20,Moderate,3,Apply,True,Lease PV
CBQ23-A4,CBQ23-A4-Q3,Batch1,select,How should the $8M guarantee be treated for leverage?,B,Moderate,3,Analyze,False,Guarantee
CBQ23-A4,CBQ23-A4-Q4,Batch1,select,Does Horizon breach the D/E covenant on recast? Next step?,A,Moderate,3,Analyze,False,Covenant breach
CBQ23-A4,CBQ23-A4-Q5,Batch1,multi,Which two recast adjustments are required? (Select two),Add $8M JV guarantee to debt|Add PV $5.2M synthetic lease to,Moderate,3,Analyze,False,Required
CBQ23-A4,CBQ23-A4-Q6,Batch1,match,Match recast concept to Horizon,{'JV guarantee $8M': 'Full recourse debt-like â€” add to D/E,Moderate,3,Evaluate,False,Integration
CBQ23-B2,CBQ23-B2-Q1,Batch1,numeric,Enter the EOQ in tons; rounded to nearest ton.,134,Moderate,3,Apply,True,EOQ
CBQ23-B2,CBQ23-B2-Q2,Batch1,numeric,Enter total annual ordering+carrying cost at EOQ; in dollars,10733,Moderate,3,Apply,True,EOQ total cost
CBQ23-B2,CBQ23-B2-Q3,Batch1,select,Should BuildCore take the 2% discount? Compare to CP.,B,Moderate,3,Analyze,False,Discount vs CP
CBQ23-B2,CBQ23-B2-Q4,Batch1,select,What is the effective financing cost if forgoing discount an,A,Moderate,3,Apply,False,Trade EAR
CBQ23-B2,CBQ23-B2-Q5,Batch1,multi,Which two EOQ assumptions are violated if demand is seasonal,Constant demand â€” EOQ assumes even usage; seasonality requ,Moderate,3,Analyze,False,Assumptions
CBQ23-B2,CBQ23-B2-Q6,Batch1,match,Match BuildCore concept to value,{'EOQ 134 tons': 'âˆš2DS/H at H=80'; 'Trade EAR 24.49%': '(2,Moderate,3,Evaluate,False,Integration
CBQ23-C5,CBQ23-C5-Q1,Batch1,numeric,Enter the target cost; in dollars.,22.00,Moderate,3,Apply,True,Target cost
CBQ23-C5,CBQ23-C5-Q2,Batch1,numeric,Enter the Year1 kaizen-adjusted cost; in dollars.,23.40,Moderate,3,Apply,True,Kaizen cost
CBQ23-C5,CBQ23-C5-Q3,Batch1,select,Which costing approach is correct for FreshHarvest's launch?,B,Moderate,3,Analyze,False,Target vs cost-plus
CBQ23-C5,CBQ23-C5-Q4,Batch1,select,What is the kaizen cost reduction in Year1?,A,Moderate,3,Apply,False,Kaizen
CBQ23-C5,CBQ23-C5-Q5,Batch1,multi,Which two actions close the target gap? (Select two),Value-engineer packaging â€” save $0.80 while preserving fun,Moderate,3,Analyze,False,Actions
CBQ23-C5,CBQ23-C5-Q6,Batch1,match,Match FreshHarvest concept to value,{'Target cost $22': '28 market -6 profit'; 'Gap $2': '24 cur,Moderate,3,Evaluate,False,Integration
CBQ23-D3,CBQ23-D3-Q1,Batch1,numeric,Enter the risk score for Alpha Chips (LÃ—S).,15,Moderate,3,Apply,True,Risk score
CBQ23-D3,CBQ23-D3-Q2,Batch1,numeric,Enter the expected loss for Alpha if impact $4M and prob 8% ,320000,Moderate,3,Apply,True,EL
CBQ23-D3,CBQ23-D3-Q3,Batch1,select,Which risk register entry is most urgent?,A,Moderate,3,Analyze,False,Register priority
CBQ23-D3,CBQ23-D3-Q4,Batch1,select,Which response classification is dual-sourcing Alpha?,A,Moderate,3,Apply,False,Response
CBQ23-D3,CBQ23-D3-Q5,Batch1,multi,Which two metrics trigger escalation for Alpha? (Select two),Share 70% > appetite 50% â€” concentration breach|Risk score,Moderate,3,Analyze,False,Escalation
CBQ23-D3,CBQ23-D3-Q6,Batch1,match,Match Atlas vendor risk to treatment,{'Alpha 70% L3S5': 'Score 15 â€” top priority'; 'EL 320k': ',Moderate,3,Evaluate,False,Vendor mapping
CBQ23-E4,CBQ23-E4-Q1,Batch1,numeric,Enter the PI for Project B; rounded to two decimals.,1.33,Moderate,3,Apply,True,PI
CBQ23-E4,CBQ23-E4-Q2,Batch1,numeric,Enter the total NPV of the optimal $6M-cap portfolio (choose,1.62,Difficult,4,Apply,True,Optimal NPV
CBQ23-E4,CBQ23-E4-Q3,Batch1,select,Why does PI greedy fail here?,B,Difficult,4,Analyze,False,PI greedy
CBQ23-E4,CBQ23-E4-Q4,Batch1,select,Which component drove the -$80k post-audit variance most?,A,Moderate,3,Analyze,False,Post-audit
CBQ23-E4,CBQ23-E4-Q5,Batch1,multi,Which two post-audit purposes are legitimate? (Select two),Refine future forecasts â€” learn from 50k revenue miss|Iden,Moderate,3,Analyze,False,Post-audit
CBQ23-E4,CBQ23-E4-Q6,Batch1,match,Match capital budgeting tool to Harborview,{'PI 1.33': '1+NPV/Inv â€” B ranks first'; 'Optimal 5.3M NPV,Moderate,3,Evaluate,False,Tool mapping
CBQ23-F5,CBQ23-F5-Q1,Batch1,select,Which fraud triangle leg does the $420k override most direct,A,Moderate,3,Analyze,False,Fraud triangle
CBQ23-F5,CBQ23-F5-Q2,Batch1,select,How should the $420k shipment be accounted under ASC606?,B,Difficult,4,Analyze,False,ASC606
CBQ23-F5,CBQ23-F5-Q3,Batch1,select,How do SOX302 and SOX404 differ for this override?,C,Difficult,4,Analyze,False,SOX302 vs 404
CBQ23-F5,CBQ23-F5-Q4,Batch1,select,What is the ICFR implication of overriding the 3-way match f,B,Difficult,4,Evaluate,False,ICFR deficiency
CBQ23-F5,CBQ23-F5-Q5,Batch1,multi,Which three controls address Beacon's risks? (Select three),Enforce 3-way match with system block; no override without d,Very Difficult,5,Evaluate,False,Controls
CBQ23-F5,CBQ23-F5-Q6,Batch1,match,Match Beacon fact to governance,{'Override $420k via 3-way bypass': 'Opportunity â€” control,Very Difficult,5,Evaluate,False,Beacon mapping
